section	app	icon	resolved_path	format	resolve_status	surface_status
iconless	Zide Terminal Stable	zide-terminal-stable			missing	not_loaded
iconless	Zide Dev	zide-dev			missing	not_loaded
iconless	Dota 2	steam_icon_570			missing	not_loaded
resolved	Teams for Linux	teams-for-linux	/usr/share/icons/hicolor/48x48/apps/teams-for-linux.png	png	resolved	loaded_texture
iconless	Zide Stable	zide-stable			missing	not_loaded
resolved	Zed	/home/home/.local/zed.app/share/icons/hicolor/512x512/apps/zed.png	/home/home/.local/zed.app/share/icons/hicolor/512x512/apps/zed.png	png	resolved	loaded_texture
iconless	Zide Editor Dev	zide-editor-dev			missing	not_loaded
iconless	Zide Editor Stable	zide-editor-stable			missing	not_loaded
resolved	IntelliJ IDEA Community	/opt/jetbrains/idea-community/bin/idea.svg	/home/home/.cache/wayspot/icons/icon-4212195913.png	png	resolved	loaded_texture
resolved	Wayspot	wayspot	/home/home/.cache/wayspot/icons/icon-465554165.png	png	resolved	loaded_texture
iconless	Samsung TV Remote	samsung-tv-remote			missing	not_loaded
iconless	Zide Terminal Dev	zide-terminal-dev			missing	not_loaded
resolved	wf-recorder UI	wf-recorder-ui	/home/home/.local/share/icons/hicolor/256x256/apps/wf-recorder-ui.png	png	resolved	loaded_texture
resolved	Kompare	kompare	/usr/share/icons/hicolor/48x48/apps/kompare.png	png	resolved	loaded_texture
iconless	Advanced Network Configuration	preferences-system-network			missing	not_loaded
resolved	Neovide	neovide	/usr/share/icons/hicolor/48x48/apps/neovide.png	png	resolved	loaded_texture
resolved	LACT	io.github.ilya_zlobintsev.LACT	/home/home/.cache/wayspot/icons/icon-4004407626.png	png	resolved	loaded_texture
resolved	Kvantum Manager	kvantum	/home/home/.cache/wayspot/icons/icon-2227087274.png	png	resolved	loaded_texture
resolved	LibreOffice Math	libreoffice-math	/usr/share/icons/hicolor/48x48/apps/libreoffice-math.png	png	resolved	loaded_texture
resolved	Yazi File Manager	yazi	/usr/share/icons/hicolor/48x48/apps/yazi.png	png	resolved	loaded_texture
resolved	Zellij	zellij	/usr/share/pixmaps/zellij.png	png	resolved	loaded_texture
resolved	Catfish File Search	org.xfce.catfish	/usr/share/icons/hicolor/48x48/apps/org.xfce.catfish.png	png	resolved	loaded_texture
resolved	Chromium	chromium	/usr/share/icons/hicolor/48x48/apps/chromium.png	png	resolved	loaded_texture
resolved	Ark	ark	/usr/share/icons/hicolor/48x48/apps/ark.png	png	resolved	loaded_texture
resolved	NVIDIA Nsight Systems	/usr/lib/nsight-systems/host-linux-x64/nsys-ui.png	/usr/lib/nsight-systems/host-linux-x64/nsys-ui.png	png	resolved	loaded_texture
resolved	Raspberry Pi Imager	rpi-imager	/home/home/.cache/wayspot/icons/icon-2793484949.png	png	resolved	loaded_texture
resolved	NVIDIA Nsight Compute	/usr/lib/nsight-compute/host/linux-desktop-glibc_2_11_3-x64/ncu-ui.png	/usr/lib/nsight-compute/host/linux-desktop-glibc_2_11_3-x64/ncu-ui.png	png	resolved	loaded_texture
iconless	Emoji Selector	preferences-desktop-emoticons			missing	not_loaded
iconless	Hardware Locality lstopo	hwloc			missing	not_loaded
iconless	Qt6 Settings	preferences-desktop-theme			missing	not_loaded
iconless	Customize Look and Feel	preferences-desktop-theme			missing	not_loaded
resolved	nvtop	nvtop	/home/home/.cache/wayspot/icons/icon-1340868521.png	png	resolved	loaded_texture
resolved	GTK Settings	nwg-look	/home/home/.cache/wayspot/icons/icon-2941410316.png	png	resolved	loaded_texture
resolved	VSCodium	vscodium	/usr/share/pixmaps/vscodium.png	png	resolved	loaded_texture
resolved	ONLYOFFICE	onlyoffice-desktopeditors	/usr/share/icons/hicolor/48x48/apps/onlyoffice-desktopeditors.png	png	resolved	loaded_texture
iconless	WLR Layout UI	video-display			missing	not_loaded
resolved	Teams for Linux	teams-for-linux	/usr/share/icons/hicolor/48x48/apps/teams-for-linux.png	png	resolved	loaded_texture
resolved	WezTerm	org.wezfurlong.wezterm	/usr/share/icons/hicolor/128x128/apps/org.wezfurlong.wezterm.png	png	resolved	loaded_texture
iconless	Avahi VNC Server Browser	network-wired			missing	not_loaded
resolved	Menu Editor	kmenuedit	/usr/share/icons/hicolor/48x48/apps/kmenuedit.png	png	resolved	loaded_texture
iconless	Avahi SSH Server Browser	network-wired			missing	not_loaded
iconless	Desktop Session Settings	preferences-desktop			missing	not_loaded
iconless	scrcpy	/opt/scrcpy/scrcpy.png			missing	not_loaded
resolved	Qt D-Bus Viewer	qdbusviewer	/usr/share/icons/hicolor/128x128/apps/qdbusviewer.png	png	resolved	loaded_texture
resolved	Qt Assistant	assistant	/usr/share/icons/hicolor/128x128/apps/assistant.png	png	resolved	loaded_texture
iconless	Qt5 Settings	preferences-desktop-theme			missing	not_loaded
resolved	OpenJDK Java 26 Shell	java26-openjdk	/usr/share/icons/hicolor/48x48/apps/java26-openjdk.png	png	resolved	loaded_texture
resolved	pacseek	pacseek	/usr/share/icons/hicolor/256x256/apps/pacseek.png	png	resolved	loaded_texture
resolved	xgps	/usr/share/gpsd/icons/gpsd-logo.png	/usr/share/gpsd/icons/gpsd-logo.png	png	resolved	loaded_texture
iconless	Default applications for LXSession	preferences-desktop			missing	not_loaded
resolved	Volume Control	org.pulseaudio.pavucontrol	/home/home/.cache/wayspot/icons/icon-1914957358.png	png	resolved	loaded_texture
resolved	mpv Media Player	mpv	/usr/share/icons/hicolor/64x64/apps/mpv.png	png	resolved	loaded_texture
resolved	Electron 37	electron37	/usr/share/pixmaps/electron37.png	png	resolved	loaded_texture
iconless	Cursor	cursor			missing	not_loaded
resolved	Spectacle	spectacle	/home/home/.cache/wayspot/icons/icon-3847255796.png	png	resolved	loaded_texture
iconless	Crashed Processes Viewer	tools-report-bug			missing	not_loaded
resolved	KWrite	kwrite	/usr/share/icons/hicolor/48x48/apps/kwrite.png	png	resolved	loaded_texture
resolved	OpenJDK Java 26 Console	java26-openjdk	/usr/share/icons/hicolor/48x48/apps/java26-openjdk.png	png	resolved	loaded_texture
resolved	Htop	htop	/usr/share/pixmaps/htop.png	png	resolved	loaded_texture
iconless	System Settings	preferences-system			missing	not_loaded
resolved	Bitwarden	bitwarden	/usr/share/icons/hicolor/64x64/apps/bitwarden.png	png	resolved	loaded_texture
resolved	kitty	kitty	/usr/share/icons/hicolor/256x256/apps/kitty.png	png	resolved	loaded_texture
resolved	QDirStat	qdirstat	/home/home/.cache/wayspot/icons/icon-3610569617.png	png	resolved	loaded_texture
iconless	System Monitor	utilities-system-monitor			missing	not_loaded
resolved	LibreOffice Calc	libreoffice-calc	/usr/share/icons/hicolor/48x48/apps/libreoffice-calc.png	png	resolved	loaded_texture
resolved	LibreOffice	libreoffice-startcenter	/usr/share/icons/hicolor/48x48/apps/libreoffice-startcenter.png	png	resolved	loaded_texture
resolved	KDiskFree	kdf	/usr/share/icons/hicolor/48x48/apps/kdf.png	png	resolved	loaded_texture
resolved	CMake	CMakeSetup	/usr/share/icons/hicolor/32x32/apps/CMakeSetup.png	png	resolved	loaded_texture
resolved	Vim	gvim	/usr/share/icons/hicolor/48x48/apps/gvim.png	png	resolved	loaded_texture
iconless	HyprShot GUI	camera-photo			missing	not_loaded
resolved	Filelight	filelight	/usr/share/icons/hicolor/48x48/apps/filelight.png	png	resolved	loaded_texture
resolved	Discover	plasmadiscover	/usr/share/icons/hicolor/48x48/apps/plasmadiscover.png	png	resolved	loaded_texture
resolved	Qt Linguist	linguist	/usr/share/icons/hicolor/128x128/apps/linguist.png	png	resolved	loaded_texture
